Application,Attributes,Automatic,Brand Name,Brooches Type,Buttom Base,Capacity,Category,Certifications,Closure,Coating,Coating Side,Color,Company Name,Computerized,Condition,Control Mode,Control System,Currency,Customization,Customized,Decoration Material,Delivery Time,Design,Diameter,Dimension (L*W*H),Dimension(L*W*H),Drawing,Dress Type,Ethnic Region,FOB Port,Fabric Type,Feature,Features,Foundation,Frequency,GSTIN,Gender,Gender/Age Group,General Use,Grade,Heat Resistance,Height,Industrial Use,Installation Type,Jewelry Main Material,Jewelry Type,Length,Logo,Logo Pattern,MRP,Main Domestic Market,Main Export Market(s),Material,Metals Type,Minimum Order Quantity,Minimum Ordered Packs,Mop,Moq,Mounting Type,Noise Level,Occasion,Packaging Details,Packsize,Pattern,Pattern Type,Payment Terms,Phase,Pkg Box Breadth,Pkg Box Height,Pkg Box Length,Plastic Type,Plating,Power,Price,Price Type,Processing,Product Link,Product Name,Product Type,Product Unit,QC System,Returnable,Sample Available,Sample Policy,Sealing and Handle,Season,Shape,Shipping Type,Size,Sleeve Style,Stock Quantity,Storage / Tankless,Style,Supply Ability,Surface Finishing,Surface Materials,Surface Treatment,Technics,Temperature,Temperature Resistance,Tensile Strength,Texture,Thickness,Tightness,Tolerance,Touch Screen,Transparency,Type,Unit Type,Usage,Usage & Applications,Use,Vehicle Type,Voltage,Volume (L),Wall Thickness,Warranty,Weight,Weight (kg),Width,Work Type
Industrial,,,,,,,Water Storage Tanks,,,,,Silver,N M AQUATECH,,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East India,,,,,,,,,,,,,,,Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-8165900.html,Plastic Stainless Steel Water Storage Tank,Water Storage Tank,,,,,,,,,,,,,,,10 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Storage,,,,,,,Water Storage Tanks,,,,,Red,REY ENTERPRISE,,NEW,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/amrutam-underground-water-storage-tanks-c10468830.html,Amrutam Underground Water Storage Tanks - Color: Red,Amrutam Underground Water Storage Tanks,,,,,,,,,,Customized,,,,,50 Per Week,,,,,,,,,,,,,,,,Industrial,,,,,,,,,,,
,,,,,,250-500 Liter Ton/day,Water Storage Tanks,,,,,White,INDIA FLEX ENGINEERING,,New,,,,,,,1 Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Stainless Steel,,,,,,,,,,,,,Cash in Advance (CID) Cheque Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/pressure-tank-c2564735.html,Pressure Tank - Capacity: 250-500 Liter Ton/Day,Pressure Tank,,,,,,,,,,,,,,,10 Per Week,,,,,,,,,,,,,,,,As Tank,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,White and Blue,DUTRON PLASTICS PRIVATE LIMITED,,,,,,,,,1 Days,,,,,,,,,,,,,,,,,,Industrial,,,,,,,,,,,All India,Asia,Plastic,,,,,,,,,As per client Specification.,,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash in Advance (CID) Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/plastic-round-shape-polished-blue-and-white-plain-water-storage-tank-7380393.html,"Plastic Water Storage Tank - ISI Certified, 500-1000 Liter Capacity | Round Shape, Polished Finish, Industrial Grade, Blue and White Color",,,,,Yes,Contact us for information regarding our sample policy,,,Cylindrical,,Multisize,,,,,,,,,,,,,,,,,,,,,,,,,,500-1000 Liter (L),,,,,,
,,,,,,,Water Storage Tanks,,,,,,RONAK INDUSTRIES,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-storage-tank-c3393959.html,"FRP Storage Tank - High-Durability Fiberglass Reinforced Polymer | Corrosion-Resistant, UV-Stabilized, Versatile Liquid Storage Solution",,,,,,,,,,,,,,,,10 Per Week,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Storage,,,,,,500 to 10000 Lits,Water Storage Tanks,,,,,,RADIONICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/reno-water-tank-c5736170.html,Sintex Reno Water Storage Tank - 500 to 10000 Liters Capacity | Durable Water Storage Solution,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ITI,,,,Water Storage Tanks,,,,,,ENGINEERS INDIA RESEARCH INSTITUTE,,,,,INR,,,,2-3 Days,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,,,1,1,1,1,,,,,1,,,,,,,,,,,35000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/project-report-on-plastic-water-storage-tanks-eiri-1487-c1927132.html,Project Report On Plastic Water Storage Tanks [Eiri-1487],,1 Piece/Pieces,,No,,,,,,,,,10,,,1 Per Day,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Silver,GOKUL WATER TECHNOLOGIES,,,,,,,,,7-10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Metal,Stainless Steel,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c10635986.html,Stainless Steel Water Storage Tank - Color: Silver,,,,,,,,,Cylindrical,,Different Size,,,,,30 Per Month,,Polished,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,ISO 9001-2008 CERTIFIEDCE CERTIFIED,,,,,SHREE UMIYA ROTOPLAST CONTAINER,,,,,,,,,1 Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Plastic,,,,,,,,,,,,,,,,,,LLDPE,,,,,,https://www.tradeindia.com/products/shivaay-gold-water-storage-tank-c3410880.html,"Shivaay Gold Water Storage Tank - LLDPE Material, 3 Layer Design | Flexible, Durable, Anti-Bacterial, Leak Proof, UV Protected, Weather Proof",,,,,,,,,,,,,,,,400000 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,,,MKV TECH SOLUTIONS,,,75000 Ltr,Water Storage Tanks,,,,,White,MKV TECH SOLUTIONS,,NEW,,,INR,,,,10 Days,,,,,,,,,,,,,,0%,,,,First Class,,,,,,,,,,,All India,,,,1,1,1,1,,,,,1,,,,,,,,,,,545000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/75000-liter-zinc-aluminium-water-storage-tank-c8460831.html,75000 Liter Zinc Aluminium Water Storage Tank - Application: Industrial,75000 Liter Zinc Aluminium Water Storage Tank,1 Liter/Liters,,No,,,,,,,Different Sizes Available,,10,,,100 Per Month,,,,,,,,,,,,,,,Liter/Liters,Storage,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Silver,UNIVERSAL ENERGY SOLUTIONS,,NEW,,,,,,,2-10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/hot-water-storage-tank-c10673166.html,Hot Water Storage Tank - Color: Silver,,,,,,,,,,,Standard,,,,,50 Per Month,,,,,,,,,,,,,,,,Industrial,,,,,,,,50-200 Kilograms (kg),,,
Industrial,,,RISHIT ENGINEERING,,,,Water Storage Tanks,,,,,Blue,RISHIT ENGINEERING,,,,,INR,,,,1 Week,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Plastic,,1,1,1,1,,,,Standard.,1,,,Cash in Advance (CID),,,,,,,,48000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/pph-barrel-7079652.html,Pph Barrel Tank,Php Barrel Tank,1 Unit/Units,,No,,Contact us for information regarding our sample policy,,,Rectangular,,,,5,,,10 Per Week,,,,,,,,,,,,,,,Unit/Units,Industrial,,,,,,,,,,,
